,date,tweet,clean_tweet,processed,sentiment,main_topic
26,2023-01-10,"Bloquea la tarjeta 5 minutos o más, posteriomente la vuelves a desbloquear y ya la agregas. Esa es la solución, me confirmas con un tweet por favor.","bloquea 5 minutos , posteriomente vuelves desbloquear agregas . solución , confirmas tweet .","['bloquea', '5', 'minutos', 'posteriomente', 'vuelves', 'desbloquear', 'agregas', 'solución', 'confirmas', 'tweet']",Neutral,Comentario
27,2023-01-10,"Es de 35,000 UDIS (184,000).De todas las plataformas en las que he inveido las mejores son Finsus y cetes para largo plazo y HeyBanco es para mi la mejor opción para tu fondo de emergencia , ya que tienes liquidez semanal. En Finsus tengo al rededor del 90% de mi poafolio.","35,000 udis ( 184,000 ) .de todas plataformas inveido mejores finsus cetes largo plazo mejor opción fondo emergencia , liquidez semanal . finsus rededor 90 % poafolio .","['35', '000', 'udis', '184', '000', 'de', 'todas', 'plataformas', 'inveido', 'mejores', 'finsus', 'cetes', 'largo', 'plazo', 'mejor', 'opción', 'fondo', 'emergencia', 'liquidez', 'semanal', 'finsus', 'rededor', '90', 'poafolio']",Neutral,Ayuda
28,2023-01-11,Excelente Gracias por responder 🙏 estaremos muy atentos 🤝,excelente responder atentos,"['excelente', 'responder', 'atentos']",Neutral,Comentario
29,2023-01-11,"Pues bueno, me quedé sin cena, muchas gracias 👍","pues bueno , quedé cena ,","['pues', 'bueno', 'quedé', 'cena']",Neutral,Ayuda
30,2023-01-11,"Gracias e igualmente, bendiciones 🙏","igualmente , bendiciones","['igualmente', 'bendiciones']",Neutral,Comentario
31,2023-01-11,Vale estoy esperando,vale esperando,"['vale', 'esperando']",Neutral,Comentario
32,2023-01-11,Muchas gracias espero la respuesta,espero respuesta,"['espero', 'respuesta']",Neutral,Ayuda
33,2023-01-13,Me gané 99 pesitos de crédito en Amazon coesía de Qué agradables sujetos 😁,gané 99 pesitos crédito amazon coesía agradables sujetos,"['gané', '99', 'pesitos', 'crédito', 'amazon', 'coesía', 'agradables', 'sujetos']",Positive,Aplicación
34,2023-01-13,es mejor,mejor,['mejor'],Neutral,Comentario
35,2023-01-13,Contéstenme por favor,contéstenme,['contéstenme'],Neutral,Comentario
36,2023-01-14,Muchas gracias que amables 😊,amables,['amables'],Neutral,Comentario
37,2023-01-14,"heybanco muchos años como cliente de bancomer y me encontre con y la verdad estoy muy agusto con los servicios, la app y las tarjetas debito y credito","años cliente bancomer encontre verdad agusto servicios , app tarjetas debito credito","['años', 'cliente', 'bancomer', 'encontre', 'verdad', 'agusto', 'servicios', 'app', 'tarjetas', 'debito', 'credito']",Neutral,Comentario
38,2023-01-14,amigos les mandé dm gracias,amigos mandé dm,"['amigos', 'mandé', 'dm']",Neutral,Ayuda
39,2023-01-14,solicito su ayuda gracias,solicito ayuda,"['solicito', 'ayuda']",Neutral,Ayuda
40,2023-01-15,Gracias!Ya respondí.Quedo atenta,! respondí.quedo atenta,"['respondí', 'quedo', 'atenta']",Neutral,Comentario
41,2023-01-16,Va gracias,va,['va'],Neutral,Comentario
42,2023-01-16,No sé ni a qué le piqué pero muchas gracias😂❤️,sé piqué,"['sé', 'piqué']",Neutral,Comentario
43,2023-01-16,"Planeación de temporada 2023 de los equipos, gracias a por la ocnfianza desde el día 1 y se viene la bomba de patrocinio con vamos por el doblete!!!}@DavilaCarloss","planeación temporada 2023 equipos , ocnfianza 1 viene bomba patrocinio vamos doblete ! ! ! } @ davilacarloss","['planeación', 'temporada', '2023', 'equipos', 'ocnfianza', '1', 'viene', 'bomba', 'patrocinio', 'vamos', 'doblete', 'davilacarloss']",Neutral,Aplicación
44,2023-01-16,Por eso son mi banco 1 ⭐⭐⭐⭐⭐,1,['1'],Neutral,Comentario
45,2023-01-17,Gracias,,[],Neutral,Comentario
46,2023-01-17,Thanks!,thanks !,['thanks'],Positive,Comentario
47,2023-01-17,Muchas gracias!,!,[],Neutral,Comentario
48,2023-01-17,"Muchas gracias, me ayudó lo suficiente, el cargo ya no procedió, se poaron muy bn aun cuando no me pude comunicar por teléfono, fueron muy amables, mil gracias por su interés se hizo cargo de todo",", ayudó suficiente , cargo procedió , poaron bn aun pude comunicar teléfono , amables , mil interés hizo cargo","['ayudó', 'suficiente', 'cargo', 'procedió', 'poaron', 'bn', 'aun', 'pude', 'comunicar', 'teléfono', 'amables', 'mil', 'interés', 'hizo', 'cargo']",Neutral,Comentario
49,2023-01-17,"Increíble, gracias HeyBanco!!@heybanco","increíble , ! ! @",['increíble'],Neutral,Comentario
50,2023-01-17,Me contestaron que sí.,contestaron .,['contestaron'],Neutral,Comentario
51,2023-01-18,Gracias,,[],Neutral,Comentario
52,2023-01-18,Gracias!,!,[],Neutral,Comentario
53,2023-01-18,Graciaaas.,graciaaas .,['graciaaas'],Neutral,Comentario
54,2023-01-18,"Gracias por estar al pendiente,estoy segura que se va a poner las pilas para que lleguen los incentivos, si no estaré pidiendo su apoyo.","pendiente , segura va poner pilas lleguen incentivos , pidiendo apoyo .","['pendiente', 'segura', 'va', 'poner', 'pilas', 'lleguen', 'incentivos', 'pidiendo', 'apoyo']",Neutral,Comentario
55,2023-01-18,"💰La sexta opción está opción es de las mejores, su pagaré a 7 días es el mejor del mercado con tasa del 10% anual solo que la inversión aquí es desde $5,000, tiene un plan de metas que te dan rendimiento a mes vencido del 4% y tú dinero disponible en cualquier momento","sexta opción opción mejores , pagaré 7 mejor mercado tasa 10 % anual inversión aquí $ 5,000 , plan metas dan rendimiento mes vencido 4 % dinero disponible cualquier momento","['sexta', 'opción', 'opción', 'mejores', 'pagaré', '7', 'mejor', 'mercado', 'tasa', '10', 'anual', 'inversión', 'aquí', '5', '000', 'plan', 'metas', 'dan', 'rendimiento', 'mes', 'vencido', '4', 'dinero', 'disponible', 'cualquier', 'momento']",Neutral,Crédito
56,2023-01-18,🇬🇹 qué buena onda por vos David 👏👏 a disfrutarlo!!!,buena onda vos david disfrutarlo ! ! !,"['buena', 'onda', 'vos', 'david', 'disfrutarlo']",Neutral,Ayuda
57,2023-01-19,¡Gracias,¡gracias,['gracias'],Neutral,Comentario
58,2023-01-19,"¡Hola!, me pueden apoyar por favor 😬","¡hola ! , pueden apoyar","['hola', 'pueden', 'apoyar']",Neutral,Comentario
59,2023-01-19,"Eso se agradece, el aviso 👏🏼👏🏼👏🏼👏🏼👏🏼","agradece , aviso","['agradece', 'aviso']",Neutral,Comentario
60,2023-01-19,"Gracias, ya se ve reflejado. Solucionado. Gracias",", ve reflejado . solucionado .","['ve', 'reflejado', 'solucionado']",Neutral,Comentario
61,2023-01-20,"Listo, gracias!",", !",[],Neutral,Comentario
62,2023-01-20,Muchas gracias!,!,[],Neutral,Comentario
63,2023-01-20,Los tkm ♥️,tkm,['tkm'],Neutral,Comentario
64,2023-01-20,"Coesía de Anímense a sacar cuenta de Hey, muchas gracias por el regalo c:@nei_aokii","coesía anímense sacar cuenta , regalo c : @ nei_aokii","['coesía', 'anímense', 'sacar', 'cuenta', 'regalo', 'c', 'nei_aokii']",Neutral,Comentario
65,2023-01-20,Cof cof también ❤️❤️,cof cof,"['cof', 'cof']",Neutral,Comentario
66,2023-01-20,te lo súper recomiendo. Y no te cobran el plástico.,súper recomiendo . cobran plástico .,"['súper', 'recomiendo', 'cobran', 'plástico']",Neutral,Contrataciones
67,2023-01-20,"Afounadamente, en México tenemos , que nos da el 10% de lo que tenemos en la cuenta! 👌🏼","afounadamente , méxico , da 10 % cuenta !","['afounadamente', 'méxico', 'da', '10', 'cuenta']",Neutral,Crédito
68,2023-01-21,"Muchas gracias por darme respuesta, ya se solucionó mi problema, excelente día!","darme respuesta , solucionó problema , excelente !","['darme', 'respuesta', 'solucionó', 'problema', 'excelente']",Neutral,Comentario
69,2023-01-23,Gracias !,!,[],Neutral,Comentario
70,2023-01-23,"Muchas gracias, el equipo de me ayudó a resolver el problema y me dieron la recompensa que gané.",", equipo ayudó resolver problema dieron recompensa gané .","['equipo', 'ayudó', 'resolver', 'problema', 'dieron', 'recompensa', 'gané']",Positive,Aplicación
71,2023-01-23,Gracias ! Este mes me tocó boletoDorado,! mes tocó boletodorado,"['mes', 'tocó', 'boletodorado']",Neutral,Crédito
72,2023-01-23,Bello!,bello !,['bello'],Neutral,Comentario
73,2023-01-23,Aún hay esperanza.. congrats !!,aún esperanza .. congrats ! !,"['aún', 'esperanza', 'congrats']",Positive,Comentario
74,2023-01-24,Gracias 😊😊😊,,[],Neutral,Comentario
75,2023-01-24,Gracias.,.,[],Neutral,Comentario
76,2023-01-24,Muchas gracias 👌👌,,[],Neutral,Comentario
77,2023-01-24,Gracias por mi premio de boletodorado ya canjee mi tarjeta de regalo,premio boletodorado canjee regalo,"['premio', 'boletodorado', 'canjee', 'regalo']",Neutral,Comentario
78,2023-01-24,Tío gracias por mi boleto Dorado. Ya por fin me tocó algo.,tío boleto dorado . fin tocó .,"['tío', 'boleto', 'dorado', 'fin', 'tocó']",Neutral,Comentario
79,2023-01-24,No mames que buena suee!,mames buena suee !,"['mames', 'buena', 'suee']",Neutral,Ayuda
80,2023-01-24,"segundo premio, espero lleguen más","segundo premio , espero lleguen","['segundo', 'premio', 'espero', 'lleguen']",Neutral,Comentario
81,2023-01-25,Gracias!!!,! ! !,[],Neutral,Comentario
82,2023-01-25,Gracias ☺️,,[],Neutral,Comentario
83,2023-01-25,"Hola, esto nos beneficia a los usuarios de",", beneficia usuarios","['beneficia', 'usuarios']",Neutral,Comentario
84,2023-01-26,Gracias por el apoyo con el seguimiento,apoyo seguimiento,"['apoyo', 'seguimiento']",Neutral,Comentario
85,2023-01-26,Gracias tio hey! Esto nos ayuda bastante.,tio ! ayuda bastante .,"['tio', 'ayuda', 'bastante']",Neutral,Ayuda
86,2023-01-26,Muchas gracias Un mes gratis de,mes gratis,"['mes', 'gratis']",Positive,Crédito
87,2023-01-27,Muchísimas gracias ya me resolvió. Saludos!,muchísimas resolvió . saludos !,"['muchísimas', 'resolvió', 'saludos']",Neutral,Contrataciones
88,2023-01-27,Vale gracias 😃,vale,['vale'],Neutral,Comentario
89,2023-01-27,Ya funcionó. Como que se cayo sólo por unos segundos. Estuvo raro. Muchas gracias,funcionó . cayo sólo segundos . raro .,"['funcionó', 'cayo', 'sólo', 'segundos', 'raro']",Neutral,Comentario
90,2023-01-27,Hola les escribí por DM porque tengo un par de dudas con la TDC.Gracias.,escribí dm par dudas tdc.gracias .,"['escribí', 'dm', 'par', 'dudas', 'tdc', 'gracias']",Neutral,Ayuda
91,2023-01-27,Gracias por ser pae de el FC Barcelona,ser pae fc barcelona,"['ser', 'pae', 'fc', 'barcelona']",Neutral,Aplicación
92,2023-01-27,cuando me darán un crédito tradicional ya llevo más de un año con una tarjeta de credito en garantía y he cumplido con mis pagos en tiempo y forma,darán crédito tradicional llevo año credito garantía cumplido pagos tiempo forma,"['darán', 'crédito', 'tradicional', 'llevo', 'año', 'credito', 'garantía', 'cumplido', 'pagos', 'tiempo', 'forma']",Neutral,Aplicación
93,2023-01-28,Ok gracias,ok,['ok'],Positive,Comentario
94,2023-01-28,"Despues de estar 1 año probando la tarjeta de Crédito de puedo decir que es muy buena y ni hablar de la cuenta de débito, realmente en temas de seguridad en transacciones, MUY TOP. tqm Hey.","despues 1 año probando crédito puedo decir buena hablar cuenta débito , realmente temas seguridad transacciones , top . tqm .","['despues', '1', 'año', 'probando', 'crédito', 'puedo', 'decir', 'buena', 'hablar', 'cuenta', 'débito', 'realmente', 'temas', 'seguridad', 'transacciones', 'top', 'tqm']",Positive,Aplicación
95,2023-01-28,"Amistad, usa si usas tu tarjeta 6 veces al mes en compras de $100 pesos te vuelves “HeyPro” y tu inversión te da un rendimiento de 10% anual que está súper súper bien con comparación a otros bancos o inveir a 25 años con Allianz a mi me explicó mi prima y suena rebien","amistad , usa usas 6 veces mes compras $ 100 pesos vuelves “ heypro ” inversión da rendimiento 10 % anual súper súper bien comparación bancos inveir 25 años allianz explicó prima suena rebien","['amistad', 'usa', 'usas', '6', 'veces', 'mes', 'compras', '100', 'pesos', 'vuelves', 'heypro', 'inversión', 'da', 'rendimiento', '10', 'anual', 'súper', 'súper', 'bien', 'comparación', 'bancos', 'inveir', '25', 'años', 'allianz', 'explicó', 'prima', 'suena', 'rebien']",Neutral,Crédito
96,2023-01-28,Excelente,excelente,['excelente'],Neutral,Comentario
97,2023-01-29,Me gane 2 premios,gane 2 premios,"['gane', '2', 'premios']",Neutral,Comentario
98,2023-01-29,Amiga explícame!!!,amiga explícame ! ! !,"['amiga', 'explícame']",Neutral,Comentario
99,2023-01-30,Muchas gracias por la información!,información !,['información'],Neutral,Contrataciones
100,2023-01-30,ThankU!,thanku !,['thanku'],Neutral,Comentario
101,2023-01-30,"Vientos, gracias","vientos ,",['vientos'],Neutral,Comentario
102,2023-01-30,me encantaria presumir mi premio de boleto dorado... Si tan solo existiera...,encantaria presumir premio boleto dorado ... existiera ...,"['encantaria', 'presumir', 'premio', 'boleto', 'dorado', 'existiera']",Neutral,Comentario
103,2023-01-31,me pueden proporcionar el link para invitar a más gente y tener mi beneficio.Gracias,pueden proporcionar link invitar gente tener beneficio.gracias,"['pueden', 'proporcionar', 'link', 'invitar', 'gente', 'tener', 'beneficio', 'gracias']",Neutral,Comentario
104,2023-02-01,Gracias 👏🏼,,[],Neutral,Comentario
105,2023-02-01,"Gracias, lo checo",", checo",['checo'],Neutral,Comentario
106,2023-02-01,¿Ya no habrá Viaje Financiero del 2022?😣 estaba muy buena esa información,¿ya viaje financiero 2022 ? buena información,"['ya', 'viaje', 'financiero', '2022', 'buena', 'información']",Neutral,Contrataciones
107,2023-02-01,Gracias por el dato y cómo fue soeo 👀?,dato cómo soeo ?,"['dato', 'cómo', 'soeo']",Neutral,Comentario
108,2023-02-01,"Buen día, como me.pueden ayudar ya que me realizaron un deposito a mi cuenta de credito pero lo necesito a la de crédito","buen , me.pueden ayudar realizaron deposito cuenta credito necesito crédito","['buen', 'me', 'pueden', 'ayudar', 'realizaron', 'deposito', 'cuenta', 'credito', 'necesito', 'crédito']",Neutral,Comentario
109,2023-02-02,Muchas gracias,,[],Neutral,Comentario
110,2023-02-02,Gracias ya se solucionó. Buenas tardes,solucionó . buenas tardes,"['solucionó', 'buenas', 'tardes']",Neutral,Comentario
111,2023-02-02,Lo realizaré.Gracias.,realizaré.gracias .,"['realizaré', 'gracias']",Neutral,Comentario
112,2023-02-02,En Diciembre me gane una tarjeta de regalo en Amazon con el ticket dorado de HeyBanco y me compre esto:*se emociona en señora*,diciembre gane regalo amazon ticket dorado compre : * emociona señora *,"['diciembre', 'gane', 'regalo', 'amazon', 'ticket', 'dorado', 'compre', 'emociona', 'señora']",Positive,Comentario
113,2023-02-03,Me funcionó mil gracias,funcionó mil,"['funcionó', 'mil']",Neutral,Comentario
114,2023-02-03,Gracias pero no es necesario. es una buena opción. Hasta el momento no he tenido problemas graves con ellos solo es adaptarme a sus procesos. Pero aún así creo que van por buen camino. Aunque en ocasiones me hagan enojar,necesario . buena opción . momento problemas graves adaptarme procesos . aún creo van buen camino . aunque ocasiones hagan enojar,"['necesario', 'buena', 'opción', 'momento', 'problemas', 'graves', 'adaptarme', 'procesos', 'aún', 'creo', 'van', 'buen', 'camino', 'aunque', 'ocasiones', 'hagan', 'enojar']",Negative,Ayuda
115,2023-02-04,Mmm. te da el rendimiento del 10% Es buena opción.,mmm . da rendimiento 10 % buena opción .,"['mmm', 'da', 'rendimiento', '10', 'buena', 'opción']",Neutral,Crédito
116,2023-02-04,Gracias por mi aumento de crédito en mi tarjeta 💳!! Muy contenta con sus servicios! ♥️,aumento crédito ! ! contenta servicios !,"['aumento', 'crédito', 'contenta', 'servicios']",Neutral,Aplicación
117,2023-02-05,Hablando de Ajolotes el banco sacara esta tarjeta y me encanto.. 👌🏼😊,hablando ajolotes sacara encanto ..,"['hablando', 'ajolotes', 'sacara', 'encanto']",Neutral,Comentario
118,2023-02-07,"sería la mejor TDC si se pudiera realizar pagos por adelantado en los meses sin intereses como en otras cuentas, siendo una opción excelente para muchos usuarios","mejor tdc pudiera realizar pagos adelantado meses intereses cuentas , siendo opción excelente usuarios","['mejor', 'tdc', 'pudiera', 'realizar', 'pagos', 'adelantado', 'meses', 'intereses', 'cuentas', 'siendo', 'opción', 'excelente', 'usuarios']",Neutral,Comentario
119,2023-02-08,"Casi me rindo cuando no obtuve ayuda del equipo de sopoe, afounadamente alguien aquí me refirió a en twitter Envíale un mensaje privado y me lo arregló, todo gracias a él, contáctalo ahora.","casi rindo obtuve ayuda equipo sopoe , afounadamente alguien aquí refirió twitter envíale mensaje privado arregló , , contáctalo .","['casi', 'rindo', 'obtuve', 'ayuda', 'equipo', 'sopoe', 'afounadamente', 'alguien', 'aquí', 'refirió', 'twitter', 'envíale', 'mensaje', 'privado', 'arregló', 'contáctalo']",Neutral,Ayuda
120,2023-02-08,Gracias por ser el mejor banco ✨,ser mejor,"['ser', 'mejor']",Neutral,Comentario
121,2023-02-10,"HeyBanco tiene pagarés semanales con 10% anual. O sea, a la semana ya obtienes rendimientos y eso lo puedes reinveir en el siguiente pagaré (de forma automática). Como generas interés compuesto muy rápido, es muchísimo mejor que el 11% anual de CETES.","pagarés semanales 10 % anual . , semana obtienes rendimientos puedes reinveir siguiente pagaré ( forma automática ) . generas interés compuesto rápido , muchísimo mejor 11 % anual cetes .","['pagarés', 'semanales', '10', 'anual', 'semana', 'obtienes', 'rendimientos', 'puedes', 'reinveir', 'siguiente', 'pagaré', 'forma', 'automática', 'generas', 'interés', 'compuesto', 'rápido', 'muchísimo', 'mejor', '11', 'anual', 'cetes']",Neutral,Crédito
122,2023-02-11,gracias,,[],Neutral,Comentario
123,2023-02-11,Solucionado. Gracias.,solucionado . .,['solucionado'],Neutral,Comentario
124,2023-02-11,"Alch, hechate unas investigadas de CETES, GMB y Hey+. CETES si ocupas investigar chido pero es muy seguro y Hey+ con HeyBanco es dinero seguro y rapido pero poco.","alch , hechate unas investigadas cetes , gmb hey+ . cetes ocupas investigar chido seguro hey+ dinero seguro rapido .","['alch', 'hechate', 'unas', 'investigadas', 'cetes', 'gmb', 'hey', 'cetes', 'ocupas', 'investigar', 'chido', 'seguro', 'hey', 'dinero', 'seguro', 'rapido']",Neutral,Crédito
125,2023-02-11,Excelente servicio de atención a clientes en HeyBanco 10/10,excelente servicio atención clientes 10/10,"['excelente', 'servicio', 'atención', 'clientes', '10', '10']",Neutral,Crédito
126,2023-02-11,Por primera vez gané algo en el boleto dorado de mi d'Or los quiero mucho 🥰🖤,primera vez gané boleto dorado d'or quiero,"['primera', 'vez', 'gané', 'boleto', 'dorado', 'd', 'or', 'quiero']",Neutral,Comentario
127,2023-02-13,Ok muchas gracias 😊,ok,['ok'],Positive,Comentario
128,2023-02-13,Gracias. Porque tengo una duda,. duda,['duda'],Neutral,Comentario
129,2023-02-13,¡Gracias a ti por formar pae de esta gran familia!,¡gracias formar pae gran familia !,"['gracias', 'formar', 'pae', 'gran', 'familia']",Neutral,Comentario
130,2023-02-13,"Después de lo de hoy, la vida y mi banco favorito dijeron: ten un tarjeta de regalo para que te eches un Starbucks y te relajes un rato.","después hoy , vida favorito dijeron : ten regalo eches starbucks relajes rato .","['después', 'hoy', 'vida', 'favorito', 'dijeron', 'ten', 'regalo', 'eches', 'starbucks', 'relajes', 'rato']",Neutral,Contrataciones
131,2023-02-14,100 % recomendado la vdd,100 % recomendado vdd,"['100', 'recomendado', 'vdd']",Neutral,Comentario
132,2023-02-14,Para ver si eres fit y viable para seguros de vida! XD,ver fit viable seguros vida ! xd,"['ver', 'fit', 'viable', 'seguros', 'vida', 'xd']",Positive,Comentario
133,2023-02-14,"Que interesante lo que encontré en los permisos que utiliza la aplicación de ⁦@heybanco⁩, estaba activada, como para que lo necesitan?","interesante encontré permisos utiliza aplicación ⁦ @ heybanco⁩ , activada , necesitan ?","['interesante', 'encontré', 'permisos', 'utiliza', 'aplicación', 'heybanco', 'activada', 'necesitan']",Neutral,Comentario
134,2023-02-15,😒 Gracias 😊,,[],Neutral,Comentario
135,2023-02-15,Hola intenta en el teléfono o correo de la imagen. (Con la app la verdad yo no he tenido problemas),intenta teléfono correo imagen . ( app verdad problemas ),"['intenta', 'teléfono', 'correo', 'imagen', 'app', 'verdad', 'problemas']",Neutral,Comentario
136,2023-02-15,hola ocupo ayuda con el cambio de número de celular y con mi token,ocupo ayuda cambio número celular token,"['ocupo', 'ayuda', 'cambio', 'número', 'celular', 'token']",Neutral,Ayuda
137,2023-02-16,"Yo la eh pensado cambiar mi nomina con ellos, la tengo con y muy agusto.Que bueno que me dicen para no sacar tarjeta ahí","eh pensado cambiar nomina , agusto.que bueno dicen sacar ahí","['eh', 'pensado', 'cambiar', 'nomina', 'agusto', 'que', 'bueno', 'dicen', 'sacar', 'ahí']",Neutral,Ayuda
138,2023-02-16,"gracias!!!! ahora, vi algo en relacion a transferencias internacionales... donde veo información?","! ! ! ! , vi relacion transferencias internacionales ... veo información ?","['vi', 'relacion', 'transferencias', 'internacionales', 'veo', 'información']",Neutral,Contrataciones
139,2023-02-16,"Pues más vale, la verdad","pues vale , verdad","['pues', 'vale', 'verdad']",Neutral,Comentario
140,2023-02-16,Ya está todo listo..,..,[],Neutral,Comentario
141,2023-02-17,Me acaba de llegar la constancia fiscal de y el año pasado gané $2400 nomas de tener mi dinero guardado con ellos. 10/10,acaba llegar constancia fiscal año pasado gané $ 2400 nomas tener dinero guardado . 10/10,"['acaba', 'llegar', 'constancia', 'fiscal', 'año', 'pasado', 'gané', '2400', 'nomas', 'tener', 'dinero', 'guardado', '10', '10']",Neutral,Crédito
142,2023-02-17,Jamás al menos la amex la primera anualidad es gratis y te da beneficios por compras el primer año y bonos.,jamás menos amex primera anualidad gratis da beneficios compras primer año bonos .,"['jamás', 'menos', 'amex', 'primera', 'anualidad', 'gratis', 'da', 'beneficios', 'compras', 'primer', 'año', 'bonos']",Positive,Crédito
143,2023-02-17,"Gracias por la respuesta, estaré al pendiente","respuesta , pendiente","['respuesta', 'pendiente']",Neutral,Ayuda
144,2023-02-18,Hola buenas tardes,buenas tardes,"['buenas', 'tardes']",Neutral,Comentario
145,2023-02-18,"Buen día, muchas gracias! Ya respondí al DM. Me tardé porque pensé que no respondían en la noche hehe","buen , ! respondí dm . tardé pensé respondían noche hehe","['buen', 'respondí', 'dm', 'tardé', 'pensé', 'respondían', 'noche', 'hehe']",Neutral,Ayuda
146,2023-02-20,Gracias,,[],Neutral,Comentario
147,2023-02-20,Tqm gracias por poner retiros en cajeros hsbc es el q tengo más cerquita,tqm poner retiros cajeros hsbc q cerquita,"['tqm', 'poner', 'retiros', 'cajeros', 'hsbc', 'q', 'cerquita']",Neutral,Comentario
148,2023-02-21,Hola!!!,! ! !,[],Neutral,Comentario
149,2023-02-23,Saludos a,saludos,['saludos'],Neutral,Contrataciones
150,2023-02-23,"real esa tarjeta es la neta, en general el banco es 10/10","real neta , general 10/10","['real', 'neta', 'general', '10', '10']",Neutral,Crédito
